Provinsi,Nama_Kota,nama_bahasa,link_kamus_bahasa_daerah,status_crawl,note,path
Kalimantan Tengah,,Bahasa Dayak Ngaju,https://repositori.kemdikbud.go.id/2897/1/Kamus%20Dwibahasa%20Dayak%20Ngaju%20-%20Indonesia%20%20%20-%20%20%20%20181h.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/kalimantan_tengah/bahasa_dayak_ngaju/json/kamus_dwibahasa_dayak_ngaju_-_indonesia___-____181h.json
Kalimantan Tengah,,Bahasa Sampit,https://www.scribd.com/document/430716792/KOSAKATA-Bahasa-Sampit,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/kalimantan_tengah/bahasa_sampit/json/kosakata-bahasa-sampit.json
Kalimantan Tengah,,Bahasa Dayak Halong,https://repositori.kemdikbud.go.id/16246/1/Kamus%20Dwibahasa%20Indonesia-Dayak%20Halong%202017.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/kalimantan_tengah/bahasa_dayak_halong/json/kamus_dwibahasa_indonesia-dayak_halong_2017.json
Sulawesi Utara,Bolaang Mongondow,Bahasa Mongondow,https://books.google.co.id/books/about/Kamus_bahasa_Mongondow_Indonesia.html?id=v4C5tgAACAAJ&redir_esc=y,FALSE,eBuku tidak tersedia,
Sulawesi Utara,Bolaang Mongondow,Bahasa Mongondow,https://repositori.kemdikbud.go.id/3170/1/morfologi%20dan%20sintaksis%20bahasa%20bolaang%20mongondow%20%20%20%20307ha.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_utara/bahasa_mongondow/json/morfologi_dan_sintaksis_bahasa_bolaang_mongondow____307ha.json
Sulawesi Utara,Sitaro,Bahasa Sitaro,https://books.google.co.id/books/about/Kamus_Dasar_Bahasa_Sangihe_Bahasa_Indone.html?id=D2B9EAAAQBAJ&redir_esc=y,FALSE,eBuku tidak tersedia,
Sulawesi Utara,Manado,Bahasa Manado,https://repositori.kemdikbud.go.id/2932/1/Kamus%20Manado-Indonesia%20%20-%20%20159h.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_utara/bahasa_manado/json/kamus_manado-indonesia__-__159h.json
Sulawesi Utara,Talaud,Bahasa Talaud,https://id.wiktionary.org/wiki/Lampiran:Kamus_bahasa_Talaud_%E2%80%93_bahasa_Indonesia,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_utara/bahasa_talaud/json/lampiran:kamus_bahasa_talaud_–_bahasa_indonesia.json
Jambi,"Kota Jambi, Kab Muaro Jambi, Kab Tanjab Timur dan Barat, Kab Batanghari, Kab Bungo, Kab Tebo",Bahasa Melayu Jambi,https://balaibahasajambi.kemdikbud.go.id/kamus-melayu-jambi-dialek-jambi-seberang-indonesia/,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/jambi/bahasa_melayu_jambi/json/kamus-melayu-jambi-dialek-jambi-seberang-indonesia.json
Jambi,"Kota Sungai Penuh, Kab Kerinci, Sebagian Kab Merangin dan bungo",Bahasa Kerinci,https://repositori.kemdikbud.go.id/2956/1/Kamus%20Umum%20Kerinci-Indonesia.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/jambi/bahasa_kerinci/json/kamus_umum_kerinci-indonesia.json
Jambi,Suku Kubu,Bahasa Kubu,https://balaibahasajambi.kemdikbud.go.id/bahasa-kubu-bentuk-dan-makna/,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/jambi/bahasa_kubu/json/bahasa-kubu-bentuk-dan-makna.json
Sumatera Barat,,Bahasa Minang,https://kamuslengkap.com/kamus/minang-indonesia/huruf/p,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sumatera_barat/bahasa_minang/json/minang-indonesia.json
Sumatera Barat,,Bahasa Mentawai,https://upload.wikimedia.org/wikipedia/commons/9/91/Kamus_Bahasa_Mentawai-Indonesia.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sumatera_barat/bahasa_mentawai/json/kamus_bahasa_mentawai-indonesia.json
Riau,,Bahasa Melayu Riau,https://kids.grid.id/read/474059824/belajar-bahasa-daerah-kosa-kata-bahasa-melayu-kepulauan-riau?page=all,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/riau/bahasa_melayu_riau/json/belajar-bahasa-daerah-kosa-kata-bahasa-melayu-kepulauan-riau.json
Kepulauan Riau,,Bahasa Melayu Dabo Singkep,https://www.kompasiana.com/junya3006/637a0c2e08a8b521b8124a92/kamus-digital-bahasa-melayu-dabo-singkep-kepulauan-riau-bahasa-indonesia,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/kepulauan_riau/bahasa_melayu_dabo_singkep/json/kamus-digital-bahasa-melayu-dabo-singkep-kepulauan-riau-bahasa-indonesia.jso
Sulawesi Selatan,,Bahasa Bugis,https://repositori.kemdikbud.go.id/2856/1/Kamus%20Bahasa%20Bugis%20-%20Indonesia%20%20%20227h.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_selatan/bahasa_bugis/json/kamus_bahasa_bugis_-_indonesia___227h.json
Sulawesi Selatan,,Bahasa Makassar,https://repositori.kemdikbud.go.id/2931/1/kamus%20makassar%20-%20indonesia%20%20%20-%20%20%20479h.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_selatan/bahasa_makassar/json/kamus_makassar_-_indonesia___-___479h.json
Sulawesi Selatan,,Bahasa Toraja,https://repositori.kemdikbud.go.id/4392/1/Tata%20Bahasa%20Toraja%201997.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_selatan/bahasa_toraja/json/tata_bahasa_toraja_1997.json
Sulawesi Selatan,,Bahasa Mandar,https://repositori.kemdikbud.go.id/29079/1/Kamus%20Bahasa%20Mandar-Indonesia.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_selatan/bahasa_mandar/json/kamus_bahasa_mandar-indonesia.json
Sulawesi Selatan,,Bahasa Konjo,https://media.ipsapps.org/kjc/oda/lexicon/index.htm,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_selatan/bahasa_konjo/json/lexicon.json
Sulawesi Selatan,,Bahasa Massenrempulu,https://repositori.kemdikbud.go.id/23876/1/TATA%20BAHASA%20MASSENREMPULU%202.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_selatan/bahasa_massenrempulu/json/tata_bahasa_massenrempulu_2.json
Sulawesi Tenggara,,Bahasa Tolaki,https://repositori.kemdikbud.go.id/23855/1/KAMUS%20TOLAKI%20-%20INDONESIA.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_tenggara/bahasa_tolaki/json/kamus_tolaki_-_indonesia.json
Sulawesi Tenggara,,Bahasa Muna,https://repositori.kemdikbud.go.id/2948/1/Kamus%20Muna%20%20-%20Indonesia%20%28157h%29.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_tenggara/bahasa_muna/json/kamus_muna__-_indonesia_(157h).json
Sulawesi Tenggara,,Bahasa Walio,https://repositori.kemdikbud.go.id/2958/1/kamus%20wolio%20indonesia%20%20%20%20%20205.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_tenggara/bahasa_walio/json/kamus_wolio_indonesia_____205.json
Sulawesi Tenggara,,Bahasa Cia-cia,https://id.wiktionary.org/wiki/Lampiran:Kamus_bahasa_Indonesia_%E2%80%93_bahasa_Cia-Cia,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_tenggara/bahasa_cia-cia/json/lampiran:kamus_bahasa_indonesia_%e2%80%93_bahasa_cia-cia.json
Sulawesi Tenggara,,Bahasa Wawonii,https://www.wawonii.net/id/kamus-bahasa-wawonii,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_tenggara/bahasa_wawonii/json/kamus-bahasa-wawonii.json
Sulawesi Tenggara,,Bahasa Kulisusu,https://kulisusu.net/sites/www.kulisusu.net/files/uploads/Kamus%20Kulisusu%20Indonesia%20v8.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_tenggara/bahasa_kulisusu/json/kamus_kulisusu_indonesia_v8.json
Sulawesi Barat,,Bahasa Mamuju,https://pakdosen.unhas.ac.id/storage/dokumen/artikel-1648607675-BUKU%20KAMUS%20BAHASA%20MAMUJU.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sulawesi_barat/bahasa_mamuju/json/artikel-1648607675-buku_kamus_bahasa_mamuju.json
Gorontalo,,Bahasa Gorontalo,https://repositori.kemdikbud.go.id/2858/1/Kamus%20Bahasa%20Gorontalo-Indonesia%20%20%20341a.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/gorontalo/bahasa_gorontalo/json/kamus_bahasa_gorontalo-indonesia___341a.json
Gorontalo,,Bahasa Suwawa,https://repositori.kemdikbud.go.id/2955/1/Kamus%20Suwawa%20Indonesia%20%28361h%29a.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/gorontalo/bahasa_suwawa/json/kamus_suwawa_indonesia_(361h)a.json
Gorontalo,,Bahasa Atinggola,https://repositori.kemdikbud.go.id/3809/1/Sistem%20Perulangan%20Bahasa%20Atinggola%20%20%20%20%20%20153h.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/gorontalo/bahasa_atinggola/json/sistem_perulangan_bahasa_atinggola______153h.json
Gorontalo,,Bahasa Bintauna,https://repositori.kemdikbud.go.id/3849/1/struktur%20bahasa%20bintauna%20%20241h.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/gorontalo/bahasa_bintauna/json/struktur_bahasa_bintauna__241h.json
Lampung,,Bahasa Lampung,https://repositori.kemdikbud.go.id/2930/1/Kamus%20Lampung-Indonesia%20-%20323h.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/lampung/bahasa_lampung/json/kamus_lampung-indonesia_-_323h.json
Lampung,,Bahasa Lampung,http://repository.lppm.unila.ac.id/661/1/kamus%20bahasa%20lampung.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/lampung/bahasa_lampung/json/kamus_bahasa_lampung.json
Lampung,,Lampung Dialek Abung,https://repositori.kemdikbud.go.id/2482/1/STRUKTUR%20BAHASA%20LAMPUNG%20DIALEK%20ABUNG%20%281992%29.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/lampung/lampung_dialek_abung/json/struktur_bahasa_lampung_dialek_abung_(1992).json
Lampung,,Lampung Dialek Pesisir,https://repositori.kemdikbud.go.id/3692/1/Tata%20bahasa%20bahasa%20lampung%20dialek%20pesisir.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/lampung/lampung_dialek_pesisir/json/tata_bahasa_bahasa_lampung_dialek_pesisir.json
Lampung,,Lampung Dialek Pubian,https://repositori.kemdikbud.go.id/3515/1/Sastra%20Lisan%20Lampung%20Dialek%20Pubiyan.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/lampung/lampung_dialek_pubian/json/sastra_lisan_lampung_dialek_pubiyan.json
Lampung,,Reduplikasi bahasa komering,https://repositori.kemdikbud.go.id/3823/1/Sistem%20reduplikasi%20bahasa%20komering.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/lampung/reduplikasi_bahasa_komering/json/sistem_reduplikasi_bahasa_komering.json
Nusa Tenggara Barat,,Bahasa Sasak,https://repositori.kemdikbud.go.id/16269/1/KAMUS%20SASAK-INDONESIA%202017.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/nusa_tenggara_barat/bahasa_sasak/json/kamus_sasak-indonesia_2017.json
Nusa Tenggara Barat,,Bahasa Sumbawa,https://repositori.kemdikbud.go.id/2953/1/Kamus%20sumbawa%20-%20Indonesia.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/nusa_tenggara_barat/bahasa_sumbawa/json/kamus_sumbawa_-_indonesia.json
Nusa Tenggara Barat,,Bahasa Bima,https://repositori.kemdikbud.go.id/30378/1/KAMUS%20BIMA%20-%20INDONESIA.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/nusa_tenggara_barat/bahasa_bima/json/kamus_bima_-_indonesia.json
